study_id,kri_section,kri_number,kri_label,kri_code,iqmp_risk_id,moderate_threshold,high_threshold,relative_score_direction,weight,applicable_visits,forms_variables,logic_summary,corrective_action,status,retirement_date,comment,associated_qtl
B7981080,global,,Columbia-Suicide Severity Rating Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,EuroQol 5 Dimensional Health State,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,EuroQol 5 Dimensional Health State,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Hospital Anxiety and Depression Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Hospital Anxiety and Depression Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Treatment Satisfaction Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Treatment Satisfaction Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Work Productivity and Activity Impairment,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Work Productivity and Activity Impairment,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Vitiligo Noticeability Scale Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Vitiligo Noticeability Scale Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Vitiligo Area Scoring Index (VASI) Open to,VASI,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Vitiligo Area Scoring Index (VASI) Open to,VASI,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Color Match Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,global,,Color Match Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981080,study_specific,1,Dosing eDiary Compliance,,RISK ID 4370: Data were not obtained from and/or attributed to study participant accurately Critical Data: Dosing compliance via IPAL and participant completed dosing diary,>=5% and < 10% missing,> or = 10% missing,,High,,"Form Names:
EDIARY Data in DMW (EC205)
PK Dosing – Dose Time (EC001_5)
DATE OF VISIT (SV001)


CDS01-RF02","Update Oct 2025: The percentage of subjects who did not complete 10 or more consecutive
entries of self-reported Dosing eDiary.
Dosing eDiary Compliance Details:
For randomized subjects only.
The percentage of subjects who did not complete 4 or more consecutive entries of self-reported
Dosing eDiary","Name: Data Entry Follow-up
Actions
Action description: “SM: The average % of 10 or more consecutive Dosing eDiary data entry not completed at this
site is significantly higher than the overall study rate. Site needs to verify the missed dosing eDiary and raise DCFs
if needed.”",active,,Study Management will be assigned to mitigate the signal.,
B7981080,study_specific,2,Missed Assessment – F-VASI,,RISK ID 4370: Data were not obtained from and/or attributed to study participant accurately Critical Data: VASI collection and Slate usage reviewed against SSDDL along with vendor access reports CDS01-RF02,>=10% and < 25% missing,> or = 25% missing,Both,High,,"Form Names:
ePRO – VASI (RSVASI085)
DATE OF VISIT (SV001)","Randomized subjects.
Visits: SCR, Day1, Week4, Week8, Week12, Week24, Week36, Week48, Week52, Week56, Week 60,
Week 76, Week 88, Week 104, Early Termination","Action Name: Data Entry Follow-up
Action description: “SM: The % of missing F-VASI assessments at this site is significantly higher than the overall
study rate. Site needs to ensure the scheduled F-VASI assessments are entered per protocol.”",active,,"Part II subjects visits ONLY go up to Week52.
Study Management will be assigned to review this signal in CluePoints.


CDS01-RF02",
B7981080,study_specific,3,Missed Assessment – T-VASI,,RISK ID 4370: Data were not obtained from and/or attributed to study participant accurately Critical Data: VASI collection and Slate usage reviewed against SSDDL along with vendor access reports,>=10% and < 25% missing,> or = 25% missing,Both,High,,"Form Names:
ePRO – VASI (RSVASI085)
DATE OF VISIT (SV001)","Randomized subjects.Visits: SCR, Day1, Week4, Week8, Week12, Week24, Week36, Week48, Week52,
Week56, Week 60, Week 76, Week 88, Week 104, Early Termination","Action Name: Data Entry Follow-up
Action description: “SM: The % of missing T-VASI assessments at this site is significantly higher than the overall
study rate. Site needs to ensure the scheduled T-VASI assessments are entered per protocol.”",active,,"Part II subjects visits ONLY go up to Week52.
Study Management will be assigned to review this signal in CluePoints.


CDS01-RF02",
B7981080,study_specific,4,Missed Assessment – PGIC-F,,RISK ID 4370: Data were not obtained from and/or attributed to study participant accurately Critical Data: VASI collection and Slate usage reviewed against SSDDL along with vendor access reports,>=10% and < 25% missing,> or = 25% missing,Both,High,,"Form Names:
ePRO – PGIC-F (QSPGI033)
DATE OF VISIT (SV001)","Randomized subjects.
Visits: Week24, Week36, Week52, Week76, Week88, Week 104, Early Termination","Action Name: Data Entry Follow-up
Action description: “SM: The % of missing PGIC-F assessments at this site is significantly higher than the overall
study rate. Site needs to ensure the scheduled PGIC-F assessments are entered per protocol.”


CDS01-RF02",active,,"Part II subjects visits ONLY go up to Week52.
Study Management will be assigned to review this signal in CluePoints.",
B7981080,study_specific,5,Missed Assessment – PGIC-V,,RISK ID 4370: Data were not obtained from and/or attributed to study participant accurately Critical Data: VASI collection and Slate usage reviewed against SSDDL along with vendor access reports,>=10% and < 25% missing,> or = 25% missing,Both,High,,"Form Names:
ePRO – PGIC-V (QSPGI033)
DATE OF VISIT (SV001)","Randomized subjects.
Visits: Week24, Week36, Week52, Week76, Week88, Week 104, Early Termination


CDS01-RF02","Action Name: Data Entry Follow-up
Action description: “SM: The % of missing PGIC-V assessments at this site is significantly higher than the overall
study rate. Site needs to ensure the scheduled PGIC-V assessments are entered per protocol.”",active,,"Part II subjects visits ONLY go up to Week52.
Study Management will be assigned to review this signal in CluePoints.",
B7981080,study_specific,6,Missed Sample Tracking – PK,,Risk ID 4370: Data were not Sampling obtained from and/or attributed to study participant accurately Critical Data: Time of completion of most recent dose (at PK Visit) and Time of PK collection.,>=5% and < 10% missing,> or = 10% missing,Both,High,,"Form Names:
PHARMACOKINETICS (PK D1) (PC003), PHARMACOKINETICS - 1H-3H WK4/WK8 (PK
W4/W8) (PC003_1)DATE OF VISIT (SV001) RANDOMIZATION (DS001_3)


CDS01-RF02","Missed Sample Tracking – PK Sampling Details:
For randomized subjects only.
Visits: Day1, Week4, and Week 8 if not done at Week4
Exclude patients that are in the Part II section of the study, using their Reference ID number in the
Randomization dataset as being 15XXX
The percentage of sites where subjects completed fewer PK Sampling CRF compared to all sites.","Action Name: Data Entry Follow-up
Action description: “SM: The % of Sample Tracking PK completed at this site is significantly higher than the
overall study rate. DM to review and confirm if PK queries have been addressed and closed.”",active,,Study Management will be assigned to review this signal in CluePoints.,
B7981094,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,study team’s agreement.,
B7981094,global,,AE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,team’s agreement.,
B7981094,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,team’s agreement.,
B7981094,global,,eDiary/ ePRO - Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981094,global,,eDiary/ ePRO - Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981094,study_specific,1,SAE Reporting Timeliness,,"2245 - Lack of appropriate or timely adverse event/ serious adverse event (SAE) (KRI_SAE_REPORTING) management (e.g. reporting, reconciliation, etc.)",>1 day and < 1.5 days,>= 1.5 days,,High,,"ADVERSE EVENT REPORT (AE) – (AE001)
• AECAT_001 is not NULL
• AESER_001 = “YES”
• AESTDTC_001",Average time from when an SAE comes to the knowledge of PI to its reporting.,"Action Name: Contact Site for More Information
Action Description: “CM: Site has higher number of patients with SAEs. Assess site procedure and determine
root cause and any further appropriate mitigations”",active,,Study Management will be assigned to review this signal in CluePoints as per the study team’s agreement.,
B7981094,study_specific,2,Discontinuation due to AE,,"2245 - Lack of appropriate or timely (KRI_AE_DISCONTINUATION) adverse event/ serious adverse event (SAE) management (e.g. reporting, reconciliation, etc.)",>=5% and =< 10%,> 10%,Both,High,,"DISPOSITION - TREATMENT [DS001_5]
• Status [DSDECOD_001_5] = ‘ADVERSE EVENT’
• Date of Completion/Discontinuation/Death [DSSTDTC_001_5] is not missing
ADVERSE EVENT REPORT (AE) [AE001]
• Action Taken with Study Treatment [AEACN1_001] = ‘DRUG WITHDRAWN’","For randomized Subjects only.
% of subjects discontinued due to Adverse events",Ask study team. Contact site to determine root cause and any further appropriate mitigations.,active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981094,study_specific,3,Early Termination Rate,,TA study specific KRI (KRI_ETRATE),NA,NA,Both,High,,"DISPOSITION - TREATMENT (DS001_5)
• Date of Completion/Discontinuation/Death (DSSTDTC_001) is not missing
• Will the subject continue to the next phase of this study? If Yes, then next phase is OBSERVATION
(SUPPDS_DSCONT_001_5)
• Status (DSDECOD_001) is NOT EQUAL to COMPLETE
DISPOSITION - FOLLOW-UP (DS001_6)
• Date of Completion/Discontinuation/Death (DSSTDTC_001) is not missing
• Status (DSDECOD_001) is NOT EQUAL to COMPLETE","The percentage of subjects who terminate from the study “early”, among all randomized subjects. Subjects
DID NOT COMPLETE the treatment phase, as per the CRF they are EARLY TERMINATED. As per the
CRF pages, Subjects COMPLETE treatment or study intervention is discontinued however subjects are
followed up regularly through Week 48 and F/U (EOS) but DID NOT COMPLETE follow-up phase, they are
EARLY TERMINATED.","Action Name: Review Site Level Documents/Contact Site for more Information.
Action description: Site’s understanding of the Protocol defined termination criteria will be checked to
determine if any mistakes are made. Site to be re-trained if needed.",active,,Study Management will be assigned to review this signal in CluePoints as per the study team’s agreement.,
B7981094,study_specific,4,Missed Assessment – PGI-C,,"2048 - Error in paper or electronic (KRI_MA_PGIC) clinical outcome assessments, including PROs, ObsROs, ClinROs, PerfOs and eDiaries for efficacy, safety and/or participant inclusion or exclusion",>=10% and <25% missing,>= 25% missing,,High,,"PATIENT GLOBAL IMPRESSION - ALOPECIA AREATA (PGIC) (QSPGI079)
• Date of assessment (QSDTC_079)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Visits: Week4, Week12, Week24, Week28, Week36, Week 48, ET
Proportion of PGI-C assessments for visits where the assessment is expected to be completed.
To align with the Data Entry Timeliness requirement, missed assessment will be evaluated only after 10
calendar days from the visit date, to allow sufficient time for data entry prior to classification as missed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for PGI-C assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981094,study_specific,5,Missed Assessment – P-Sat,,"2048 - Error in paper or electronic (KRI_MA_PSAT) clinical outcome assessments, including PROs, ObsROs, ClinROs, PerfOs and eDiaries for efficacy, safety and/or participant inclusion or exclusion CDS01-RF02",>=10% and <25% missing,>= 25% missing,Both,High,,"ePRO – PSAT (QSPSAT202)
• Date of assessment (QSDTC_202)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Visits: Week4, Week12, Week24, Week28, Week36, Week 48, ET
Proportion of P-Sat assessments for visits where the assessment is expected to be completed.
To align with the Data Entry Timeliness requirement, missed assessment will be evaluated only after 10
calendar days from the visit date, to allow sufficient time for data entry prior to classification as missed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for P-Sat assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.


CDS01-RF02",
B7981094,study_specific,6,Missed Assessment – SALT,,"2048 - Error in paper or electronic (KRI_MA_SALT) clinical outcome assessments, including PROs, ObsROs, ClinROs, PerfOs and eDiaries for efficacy, safety and/or participant inclusion or exclusion",>=10% and <25% missing,>= 25% missing,Both,High,,"(SALT) [RSSALT090]
• Date of assessment (RSDTC090)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Visits: Screening, Day1/Baseline, Week4, Week12, Week24, Week28, Week36, Week 48, ET
Proportion of SALT assessments for visits where the assessment is expected to be completed.
To align with the Data Entry Timeliness requirement, missed assessment will be evaluated only after 10
calendar days from the visit date, to allow sufficient time for data entry prior to classification as missed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for SALT assessments per protocol.


CDS01-RF02",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981094,study_specific,7,Missed Assessment – ELA,,"2048 - Error in paper or electronic (KRI_MA_ELA) clinical outcome assessments, including PROs, ObsROs, ClinROs, PerfOs and eDiaries for efficacy, safety and/or participant inclusion or exclusion",>=10% and <25% missing,>= 25% missing,Both,High,,"(EYELASH) [RSELA019_1]
• Date of Assessment (RSDTC_019_1)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Visits: Screening, Day1/Baseline, Week4, Week12, Week24, Week28, Week36, Week 48, ET
Proportion of ELA assessments for visits where the assessment is expected to be completed.
To align with the Data Entry Timeliness requirement, missed assessment will be evaluated only after 10
calendar days from the visit date, to allow sufficient time for data entry prior to classification as missed.


CDS01-RF02","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for ELA assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981094,study_specific,8,Missed assessment – EBA,,"2048 - Error in paper or electronic (KRI_MA_EBA) clinical outcome assessments, including PROs, ObsROs, ClinROs, PerfOs and eDiaries for efficacy, safety and/or participant inclusion or exclusion",>=10% and <25% missing,>= 25% missing,Both,High,,"(EBA) [RSEBA089_1]
• Date of Assessment (RSDTC_089_1)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)


CDS01-RF02","Randomized subjects.
Visits: Screening, Day1/Baseline, Week4, Week12, Week24, Week28, Week36, Week 48, ET
Proportion of EBA assessments for visits where the assessment is expected to be completed.
To align with the Data Entry Timeliness requirement, missed assessment will be evaluated only after 10
calendar days from the visit date, to allow sufficient time for data entry prior to classification as missed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for EBA assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981094,sister,,SAE Reporting Timeliness IQMP Risk ID(s) 2245 - Lack of appropriate or timely adverse,,,,,,High,,"ADVERSE EVENT REPORT (AE) – (AE001)
• AECAT_001 is not NULL
• AESER_001 = “YES”
• AESTDTC_001",Average time from when an SAE comes to the knowledge of PI to its reporting.,"Action Name: Contact Site for More Information
Action Description: “CM: Site has higher number of patients with SAEs. Assess site procedure and determine
root cause and any further appropriate mitigations”",active,,"in Study Risk Threshold Threshold
(Absolute Value)
Protocol Deviation Rate Yes n/a – only relative Above 1.3, 3 2 (High) Study Management will be assigned to
No score is available Below -1.3, -3 1 (Moderate) review this signal in CluePoints as per the
study team’s agreement.
Both 0.5 (Low)
AE Rate Yes n/a – only relative Above 1.3, 3 2 (High) Clinical will be assigned to review this
No score is available Below -1.3, -3 1 (Moderate) signal in CluePoints as per the study
team’s agreement.
Both 0.5 (Low)
SAE Rate Yes n/a – only relative Above 1.3, 3 2 (High) Clinical will be assigned to review th",
B7981094,sister,,Custom Filtering Rules,,,,,,,,,,,active,,,
B7981119,global,,Early Termination Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
B7981119,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
B7981119,global,,AE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
B7981119,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
B7981119,global,,HSSDD Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,HSSDD Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,PGI-S Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,PGI-S Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,PGI-C Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,PGI-C Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,Skin Pain NRS Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,Skin Pain NRS Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,HS Drainage Scale Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,HS Drainage Scale Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,EQ-5D-5L Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,EQ-5D-5L Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,HS QoL Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,HS QoL Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,C-SSRS SCR Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,C-SSRS SCR Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,C-SSRS BL Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,C-SSRS BL Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,Oral Dosing eDiary Open to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,global,,Oral Dosing eDiary Save to Open Gap,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981119,study_specific,1,% of participants randomised with,,"SR-04089 Participant takes prohibited prior exposure to anti-TNF- α, IL- concomitant medication(s) or does not take 17 inhibitor or IL-23 inhibitors required concomitant medication(s) with insufficient washout periods. SR-04087 Enrolled participant(s) do not meet protocol eligibility criteria",>=10% and < 25%,> or = 25%,,High,,"DS001_3
Date of Randomization
MH001 Medical History
Preferred Term


CDS01-RF02","For randomized subjects with the Date of Randomization entered in Randomization (DS001_3) page,
compare their Medical History(MH001) preferred terms with the list of anti-TNF- α (adalimumab, infliximab,
golimumab, certolizumab pegol), IL-17 inhibitor (secukinumab,bimekizumab, ixekizumab) or IL-23 inhibitors
(ustekinumab, risankizumab, tildrakizumab, guselkimab).
If a subject had taken anti-TNF- α within 12 weeks of first study dose, or had taken IL-17 inhibitor within 16
weeks of first study dose, or had taken IL-23 inhibitors within 6 months of first study dose, the subject will be
considered incompliant.
Divide the number of incompliant subjects by the total number of randomized subjects.",,active,,,
B7981119,study_specific,2,% of randomized and IP treated,,SR-04586 Statistical Validity participants who are <4/7 days compliant with HSSDD and Skin Pain NRS CDS01-RF02,>=25% and < 50%,> or = 50%,,High,,"Dataset: ePRO - Hidradenitis Suppurativa Symptom Daily Diary (HSSDD)
Variable: Diary Date
Dataset: ePRO - Patient Global Assessment of Skin Pain (Numeric Rating Scale)
Variable: Date/Time of Assessment
Completion Status
Dataset: [DS001_3] Randomization
Variable: Date of Randomization
Dataset: Oral Dosing eDiary
Variable: Did you take your study medication as instructed?


CDS01-RF02","For subjects with Date of Randomization entered in [DS001_3] Randomization page, and in any of
the Oral Dosing eDiary pages, with the question “Did you take your study medication as
instructed?” answered as Yes:
Calculate their HSSDD and Skin Pain NRS compliance in each week. If in any week the subject
had fewer than 4/7 HSSDD or Skin Pain NRS reported, then flag the subject as incompliant.
In the output, calculate the proportion of incompliant subjects among all randomized and dosed
subjects.",,active,,,
B7981119,study_specific,3,% of randomized and IP treated,,SR-04081 Medicinal Product Administration participants who are <80% compliant with IP dosing,>=10% and < 25%,> or = 25%,,High,,"Dataset: [DS001_3] Randomization
Variable: Date of Randomization
Dataset: Oral Dosing eDiary
Variable: Did you take your study medication as instructed? ;
Date and Time; Actual Daily Dose","For subjects with Date of Randomization entered in [DS001_3] Randomization page:
Compute their dosing compliance according to the Oral Dosing eDiary by calculating the proportion
of the total number of days in which “No” was reported for the question “Did you take your study
medication as instructed?” among the number of the entire dosing period. If the proportion is
smaller than 80%, then flag the subject as incompliant
In the output, calculate the proportion of incompliant subjects among all randomized subjects.",,active,,CDS01-RF02,
B7981119,sister,,% of participants randomised with IQMP Risk ID(s) SR-04089 Participant takes prohibited,,,,,,High,,"DS001_3
Date of Randomization
MH001 Medical History
Preferred Term


CDS01-RF02","For randomized subjects with the Date of Randomization entered in Randomization (DS001_3) page,
compare their Medical History(MH001) preferred terms with the list of anti-TNF- α (adalimumab, infliximab,
golimumab, certolizumab pegol), IL-17 inhibitor (secukinumab,bimekizumab, ixekizumab) or IL-23 inhibitors
(ustekinumab, risankizumab, tildrakizumab, guselkimab).
If a subject had taken anti-TNF- α within 12 weeks of first study dose, or had taken IL-17 inhibitor within 16
weeks of first study dose, or had taken IL-23 inhibitors within 6 months of first study dose, the subject will be
considered incompliant.
Divide the number of incompliant subjects by the total number of randomized subjects.",,active,,"in Study Risk Threshold Threshold
(Absolute Value)
Early Termination Rate Yes n/a – only relative Above 1.3, 3 2 (High)
No score is available Below -1.3, -3 1 (Moderate)
Both 0.5 (Low)
Protocol Deviation Rate Yes n/a – only relative Above 1.3, 3 2 (High)
No score is available Below -1.3, -3 1 (Moderate)
Both 0.5 (Low)
AE Rate Yes n/a – only relative Above 1.3, 3 2 (High)
No score is available Below -1.3, -3 1 (Moderate)
Both 0.5 (Low)
SAE Rate Yes n/a – only relative Above 1.3, 3 2 (High)
No score is available Below -1.3, -3 1 (Moderate)
Both 0.5 (Low)
HSSDD Open to Open Yes n/a – only relativ",
B7981119,sister,,Randomized participants who,,,,,,High,,,"Proportion test
• Numerator:
Include subjects where
o DS001_3 Randomization; Date of Randomization not missing
o DS001_5 Disposition: Treatment; Date of Completion/Discontinuation/Death not missing
o DS001_5 Disposition: Treatment; Status not equal to “COMPLETED”
• Denominator:
Include subjects where
o DS001_3 Randomization; Date of Randomization not missing",,active,,CDS01-RF02,Randomized participants who discontinue from the study intervention
C1071003,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
C1071003,global,,AE Rate,,,"< 0.6 Above 1.3, 3 2 (High) For AE Under-reporting signals. Study",,Both,High,,,,,active,,Management will be assigned to review this signal in CluePoints. AE/scheduled visit performed For AE over-reporting signals. Clinical will be assigned to review this signal in Cluepoints.,
C1071003,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,signal in CluePoints. For AE over-reporting signals. Clinical will be assigned to review this signal in Cluepoints. CDS01-RF02,
C1071003,global,,EORTC QLQ-C30 Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EORTC QLQ-C30 Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EORTC QLQ-MY20 Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EORTC QLQ-MY20 Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EORTC QLQ-CIPN20 Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EORTC QLQ-CIPN20 Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EQ-5D-5L Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,EQ-5D-5L Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
C1071003,global,,PGI-C Open to Open,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Tiralmax portal. Study management will be assigned to review this signal in CluePoints.,
C1071003,global,,PGI-C Open to Save,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Tiralmax portal. Study management will be assigned to review this signal in CluePoints.,
C1071003,global,,PGI-S Open to Open,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Tiralmax portal. Study management will be assigned to review this signal in CluePoints.,
C1071003,global,,PGI-S Open to Save,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,retired,,Tiralmax portal. Study management will be assigned to review this signal in CluePoints. CDS01-RF02 After discussed with study team in DSM. The retired Standard Early Termination Rate was not set as a new Specific Early Termination Rate (SSKRI),
C1071003,study_specific,1,Missed IMWG Response,,Risk ID: 10668 (KRI_MISSED_IMWG) Rationale: Investigator-reported disease response IMWG is secondary endpoint.,>5% < 15% missing,> or = 15% missing,,High,,"INTERNATIONAL MYELOMA WORKING GROUP UNIFORM RESPONSE ASSESSMENT - RSIMWG041
RSDTC_041
RSORRES_OVRLRESP_041","For randomized subjects only. Assessment should be flagged as missing for every CxD1 (from Cycle 2
onwards), EOT and any LTDA performed when the form is marked as NOT DONE, NOT APPLICABLE or
UNKNOWN.


CDS01-RF02","Contact site to investigate root cause for missed investigator-assessed IMWG response. Ensure
understanding of protocol requirements for investigator’s disease response assessment per IMWG, and
importance of compliance. Take any further appropriate mitigations.",active,,Study Management will be assigned to review this signal in CluePoints per study team’s agreement.,
C1071003,study_specific,2,Missed Lab - SIFE/SPEP/Serum FLC,,"Risk IDs: 10666, 10668 (KRI_MISSED_SIFE_SPEP_FLC) Rationale: SIFE, SPEP, Serum FLC are supporting disease response assessments per IMWG criteria for primary efficacy endpoint.",>5% < 15% missing,> or = 15% missing,,High,,"LABORATORY DATA – SPEP, SIFE, Serum FLC
LB001_12 (SPEP), LB001_15 (SIFE), LB001_11 (FLC)
LBDTC_001
LBORRES_001
LBSTAT_001
LBTEST_001 (for LB001_12 SPEP)
LBREASND_001 (for LB001_11 FLC)","For randomized subjects only.
For Screening visit, CxD1, EOT and any LTDA performed. Assessment will be marked as missed when the
tests for efficacy have been marked as NOT DONE:
- assessment marked as ‘Not Done’ (except if ‘unable to calculate’)
- or the form is marked as NOT DONE, NOT APPLICABLE, UNKNOWN.
For SPEP we will only look at test = M-Spike
For SIFE, we will count the assessment missed for the visit if any or both of the Heavy or Light chain is not
collected. We will count it completed if both Heavy and Light chains are collected.
For FLC, we will count the assessment missed for the visit if any or all of the tests are not collected. We will
count completed if all tests are collected (or marked as ‘unable to calculate’)
If either of Screening or Cycle 1 Day 1 is completed; we will not mark missed.","Contact site to investigate root cause for missed SPEP, SIFE, Serum FLC assessments. Ensure understanding
of protocol requirements for SPEP, SIFE, Serum FLC collection, and importance of compliance. Take any
further appropriate mitigations.",active,,"Study Management will be assigned to review this signal in CluePoints per study team’s agreement.


CDS01-RF02",
