study_id,qtl_name,definition,expectation,secondary_limit,tolerance_limit,numerator_definition,denominator_definition,status,retirement_date,comment,has_sister_kri
C2321014,% of participants with 2,"The percentage of treated participants with at least 2
consecutive nonevaluable/ consecutive non-evaluable or missing disease (soft
missing disease assessments tissue and/or bone) assessments while participants
are on treatment.
Dataset and RECIST [RSIOTA001]",4.5,6%,7.5%,"• On the INVESTIGATOR OVERALL OBJECTIVE TUMOR ASSESSMENT – RECIST 1.1 (IOTA) [RSIOTA001] CRF, if target [RSORRES_TRGRESP_001] or non-target [RSORRES_NTRGRESP_001] or overall assessment [RSORRES_OVRLRESP_001] is “not assessed” or “not evaluable” for two consecutive visits then count patient. • On the INVESTIGATOR OVERALL OBJECTIVE TUMOR ASSESSMENT – RECIST 1.1 (IOTA) [RSIOTA001] CRF, if target [RSORRES_TRGRESP_001] is “NO TARGET LESION AT BASELINE” and non-target [RSORRES_NTRGRESP_001] is “NO NON-TARGET LESION AT BASELINE” and overall assessment [RSORRES_OVRLRESP_001] is “not evaluable” then do not count patient, as these patients can have an overall response of “not evaluable”. • On the PCWG3 CRF forms for FIRST SCAN AFTER TREATMENT INITIATION, POST1- TREATMENT SCAN and POST-TREATMENT SCAN if the Bone Response [RSORRES_BONERESP] is “not evaluable” for two consecutive visits then count patient.","Randomized participants who have reached the second planned follow-up scan visit at week 17. • SV001: SVSTDTC_001 is not null and CPEVENT = CYCLE5_DAY1_WEEK17 or CYCLE6_DAY8_WEEK17_D. Comment, if QTL updated based on QTL Specification V2.0 document. applicable As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C2321014,The % of randomized,"The percentage of randomized participants that do not
participants that are receive study treatment.
not treated.
Dataset and [DS001_3]",1.5,2%,4%,Include subjects where DS001_3 Randomization; Randomization Date not missing and o EC001_3 Parenteral - Docetaxel; Start Date Time missing and o EC001_4 Treatment - PF-06821497; Start Date Time missing and o EC001_4_1 Treatment - ENZALUTAMIDE; Start Date Time missing and o EC001_5 PK DOSING - PF-06821497 - EVENING DOSE PRIOR TO CLINIC VISIT (PK o MRD); Start Date Time missing and EC001_5_1 PK DOSING - PF-06821497 - IN CLINIC MORNING DOSE (PK CLINIC); Start o Date Time missing A subject must not be flagged as not dosed in the numerator until it has been >30 days since randomization date. •,"Include subjects where DS001_3 Randomization; Randomization Date not missing o Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating applicable QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C2321014,Percentage of participants with,"% of treated participants with non-evaluable or
missing and/or non-evaluable missing bone scan assessments at week 9 (within
bone scan assessments at window allowed by protocol)
week 9
Dataset and [TRPCWG104]",3,4.5%,6%,On the PCWG3 CRF form for FIRST SCAN AFTER TREATMENT INITIATION if the Bone Response [RSORRES_BONERESP] is “not evaluable” then count patient.,"Randomized participants who have reached the week 9 visit. • SV001: SVSTDTC_001 is not null and CPEVENT = CYCLE3_DAY1_WEEK9 or CYCLE3_DAY15_WEEK9_D. Comment, if QTL updated based on QTL Specification V2.0 document. applicable As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C2321014,Percent of participants who do,"Percentage of treated randomized participants who
not have a confirmatory bone have a bone scan assessment of unconfirmed PD
scan after unconfirmed bone and discontinue from study treatment (due to
disease was detected progression) without a confirmatory bone scan


CDS01-RF02
Dataset and [TRPCWG104]",6,9%,11%,"On the PCWG3 CRF forms for FIRST SCAN AFTER TREATMENT INITIATION, POST1-TREATMENT SCAN and POST-TREATMENT SCAN if the Bone Response is “Progressive Disease Unconfirmed” without having a result of “Progressive Disease” (i.e. confirmed PD) after this and on the Disposition Treatment forms (DS001_5, DS001_5_1, DS001_5_2) the Status [DSDECOD_001_5] is “Progressive Disease”.","Randomized participants who have at least one post-baseline bone scan completed. • Date of Scan is not null for at least one of PCWG104, PCWG105, or PCWG106. Comment, if Secondary limit is missing from C2321014 Quality Tolerance Limit Specification v 1.0 (10-May-2024), applicable however it was confirmed with the Study Team that it should be 9%. In a follow-up revision of the Specification, it will be included. As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C3651003,Not Meet the Key Protocol,"Percent of subjects entered into the study that do not meet key
Entry Criteria protocol entry criteria for GDF-15 and/or cachexia",1,,5%,Include subjects where IE002 Inclusion and Exclusion; IESPID_002 is not null or IESPID1_002 is not null o,Include subjects where o DS001_3 Randomization; Randomization Date not missing o • Numerator: Include subjects where IE002 Inclusion and Exclusion; IESPID_002 is not null or IESPID1_002 is not null o,active,,,FALSE
C3651021,Participants lost to follow-up or withdrawal,"The percentage of treated participants who are lost to follow-up or
from the study withdraw consent from the study while ongoing or in follow-up for
Overall Survival (OS) follow-up. (ASRP RISK SR-00845)",5,15%,20%,In DS001_5 where DSDECOD_001 = Withdrawal by Subject Or In DS001_5 where DSDECOD_001 = Lost to follow-up Or In DS001_6 where DSDECOD_001 = Lost to follow-up Or In DS001_6 where DSDECOD_001 = Withdrawal by Subject OR In DS001_7 where DSSTDTC_001 Is not null,In SM_DS001 Where FORMREFNAME = DS001_3 and [DSDECOD_001 = RANDOMIZED] and is not null],active,,,TRUE
C3671013,and,"to
include Season 1
Added QTL for Season 2
4.2.1 KRI 1 updated Rationale and Description
of KRI Logic
4.2.2 KRI 2 removed- AE Reporting
4.2.3 KRI 3 updated Rationale and added a
Comment
4.2.4 KRI 4 removed- Missed Sample Tracking
Non-Immuno Subset Blood Sample
4.2.5 KRI 5 updated Rationale
4.2.6 KRI 6 updated Rationale
4.2.9 KRI 9 updated Rationale, Description of
KRI Logic and Suggestive Correction Actions
4.2.10 KRI 10 updated Rationale
7.0 13-Jun-2022 Revise Added AE Rate
Removed Missed Reactogenicity eDiary Data
Entry KRI
Added Higher proportion of lost to follow-up
compared to other sites",,,,,,active,,"e in Threshold Threshold Threshold
Study (Absolute (Absolute Value)
Value)
Early Termination Yes 22% 25% Above 1.3, 3 2 (High) This KRI will be retired in September
Rate No Below -1.3, -3 1 (Moderate) 2024 - a study specific KRI will be
added once the update is approved
Both 0.5 (Low)
and effective
Protocol Deviation Yes n/a – only n/a – only Above 1.3, 3 2 (High) Study Management will be assigned
Rate No relative score is relative score is Below -1.3, -3 1 (Moderate) to review this signal in Cluepoints
available available Both 0.5 (Low) Oct 2025: Retired for Substudy A&B
AE Rate Yes 0 0.0001 ",FALSE
C3671013,Nasal Swab Compliance,"Percentage calculated as the number of nasal swabs
obtained from respiratory illness visits that meet
protocol criteria for duration of symptoms present for
Season 1.


WI-CDS01-RF02",100,95%,"Specification [TMF ID 001 for 821.07], CESOD006 Parameter section ‘Justification for QTL’, version 1.0, date 30-Aug- 2021. SV001 as QTL KRI_DATA_ENTRY_TIMELI NESS KRI_SEASONS BEOCCUR_001_2 BEOCCUR_001",o count Valid Nasal Swab Collected (site or self) where Sample collection date is 7 days or less from date first respiratory symptom started where DOA on CESOD is not null and First Symptom Started Date is on/prior to Season1End and there has been at least one symptom present for more than 1 day •,o count RI Visits where First Symptom Started Date is on/prior to Season1End and DOA on CESOD is not null and there has been at least one symptom present for more than 1 day,active,,"14-Dec-2023: Retiring QTL as Season 1 has ended


WI-CDS01-RF02",TRUE
C3671013,Nasal Swab Compliance,"Percentage of Illness visits, that are captured on the
Season 2 eCRF (InForm) with an associated Nasal swab (either
self-collected or collected at the site Illness Visit) with
symptoms starting after ARI surveillance date in RSV
Season2.
Dataset and SM_BEETRK",100,95%,90%,o count Valid Nasal Swab Collected (site or self) where Sample collection date is 7 days or less from date first respiratory symptom started where DOA on CESOD is not null and First Symptom Started Date is on/after Season 2 Start and there has been at least one symptom present for more than 1 day •,"o count RI Visits where First Symptom Started Date is on/after Season2Start and DOA on CESOD is not null and there has been at least one symptom present for more than 1 day Comment, if 14-Dec-2023: QTL to be retired as Season 2 has ended applicable",active,,,TRUE
C3671013,Collection of,"Percentage of immunogenicity samples collected and
Immunogenicity shipped. Calculated as the actual number of participants who
samples in Sub-Study receive vaccination and provide the 1-month blood sample
A within window (27- 42 days after vaccination) divided by the
number of participants expected to provide the 1-month blood
sample at the time of each review.",100,95%,90%,o Count of BEOCCUR_CMP_001 = YES when (BEDTC_001 - ECSTDTC_001_2) = between 27 to 42 days,"o Count of ECSTDTC_001_2 is not NULL Comment, if 13-Aug-2025: Retiring QTL as no additional samples will be collected for 1MPD and mitigations have been applicable completed",active,,,FALSE
C3671013,Collection of,"Percentage of immunogenicity samples collected and
Immunogenicity shipped. Calculated as the actual number of participants
samples in Sub-Study who receive vaccination and provide the window (27-42
B days after vaccination) divided by the number of participants
expected to provide the 1-month blood sample at the time of
each review.",100,95%,90%,o Count of BEOCCUR_CMP_001 = YES when (BEDTC_001 - ECSTDTC_001_2) = between 27 to 42 days,"Count of ECSTDTC_001_2 is not NULL Comment, if 26-Jan-2024: Retiring QTL as no additional samples will be collected for 1MPD and mitigations have been applicable completed",active,,,FALSE
C3671013,Collection of,"Percentage of Year 3 1MPD (V302) immunogenicity samples
Immunogenicity collected and shipped. Calculated as the actual number of
samples in Sub-Study participants who receive vaccination and provide the 1-month
C (Year 3 blood sample within window (27-42 days after vaccination)
1MPD) divided by the number of participants expected to provide the
1-month blood
sample at the time of each review.",100,95%,90%,o Count of BEOCCUR_CMP_001 = YES when (BEDTC_001 - ECSTDTC_001_2) = between 27 to 42 days,"o Count of ECSTDTC_001_2 is not NULL Comment, if 27-Jun-2025: Retiring QTL as no additional samples will be collected for 1MPD and mitigations have been applicable completed",active,,,FALSE
C3671013,Collection of,"Percentage of Year 4 1MPD (V305) immunogenicity samples
Immunogenicity samples in collected and shipped. Calculated as the
Sub-Study C (Year 4 actual number of participants who receive vaccination and
1MPD) provide the 1-month blood sample within
window (27-42 days after vaccination) divided by the number
of participants expected to provide the 1-month blood sample
at the time of each review.",100,95%,90%,o Count of BEOCCUR_CMP_001 = YES when (BEDTC_001 - ECSTDTC_001_2) = between 27 to 42 days,"o Count of ECSTDTC_001_2 is not NULL Comment, if 17-Oct-2025: As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for applicable mitigating QTLs in Clue Points and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C3671013,The % of subjects who,"The proportion of subjects who received the Year 4
completed the Year 4 vaccination. Percent is calculated as the actual
vaccination number of participants who received the Year 4 vaccination at
V304 divided by the total number of
participants who received the Year 3 vaccination
at V301",100,95%,90%,Count of number of participants who received the Year 4 vaccination at V304 o •,"Count of number of participants who received the Year 3 vaccination at V301 and completed 386 o Days After Vaccination at Visit 301 Comment, if 17-Oct-2025: As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for applicable mitigating QTLs in Clue Points and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C3671058,Collection of immunogenicity,"Percentage of participants in the coadministration
Sample Grp 1 group who have all their immunogenicity samples
collected through visit 4.


CDS01-RF02
Dataset and DS001_3 RANDOMIZATION",90,,80%,"Total 3 Samples (1 per visit) will be collected from each vaccinated subject on the required visits (V1, 2, and 4). If fewer samples are collected than visits completed, subject-visit be flagged as non-compliant.","Total number of subjects vaccinated (at V1) in group 1. Numerator: Include subjects where: • dosed meaning dose date [ECSTDTC_001] is not missing on TREATMENT – VACCINATION [EC001_2] [EC001_2_1] • STUDY COHORT [R_COHORT_012] - in: COHORT Group 1 – Coadministration • Subject has completed a sample collection visit (V1, 2, and 4) [SVSTDTC_001] is not null • barcode BEREFID_012 is like “tube” that indicates sample collection Denominator: Include subjects where: • dosed meaning dose date [ECSTDTC_001] is not missing on TREATMENT – VACCINATION [EC001_2] [EC001_2_1] • STUDY COHORT [R_COHORT_012] - in: COHORT Group 1 – Coadministration Comment, if 05-Sep-2025: Retiring this QTL as all the samples for the study have been collected. applicable",active,,,TRUE
C3671058,Collection of immunogenicity,"Percentage of participants in the sequential-
Sample Grp 2 administration group who have all their
immunogenicity samples collected through visit 4
Dataset and DS001_3 RANDOMIZATION",90,,80%,"Total 4 Samples (1 per visit) will be collected from each vaccinated subject on the required visits (V1, 2, 3, and 4). If fewer samples are collected than visits completed, subject-visit be flagged as non-compliant.","Total number of subjects vaccinated (at V1) in group 2. Numerator: Include subjects where: • dosed meaning dose date [ECSTDTC_001] is not missing on TREATMENT – VACCINATION [EC001_2] [EC001_2_1] • STUDY COHORT [R_COHORT_012] - in: COHORT Group 2 – Seq. Admin • Subject has completed a sample collection visit (V1, 2, 3, and 4) [SVSTDTC_001] is not null • barcode BEREFID_012 is like “tube” that indicates sample collection Denominator: Include subjects where: • dosed meaning dose date [ECSTDTC_001] is not missing on TREATMENT – VACCINATION [EC001_2] [EC001_2_1] • STUDY COHORT [R_COHORT_012] - in: COHORT Group 2 – Seq. Admin",active,,,TRUE
C3671059,Day1 Blood Sample,"Percentage of Day 1 blood sample collected for each
Collected enrolled participant in Cohort 3 and randomized
participants in cohorts 1 and 2.
Dataset and BEETRK001",100,95%,90%,Include subjects from Cohort 3 where o X_SAS001 Cohort Selection; Participant belongs to Cohort 3 o BEETRK001 Electronic Sample Tracking; Sample Collected is Yes and Sample Collection Date not missing o SV001 Date of Visit; Date of Visit not missing for visit V301_DAY1 Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Pregnant Participant o X_SAS001 Cohort Selection; Participant belongs to either Cohort 1 or 2 o DS001_3 Randomization; Randomization Date and Number not missing o BEETRK001 Electronic Sample Tracking; Sample Collected is Yes and Sample Collection Date not missing if [(ECSTDTC_001_2 - BEDTC_001) <=7 Days or if( datepart(ECSTDTC_001_2) = datepart(BEDTC_001) and timepart(BEDTC_001) < timepart(ECSTDTC_001_2)) •,Include subjects from Cohort 3 where o X_SAS001 Cohort Selection; Participant belongs to Cohort 3 Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Pregnant Participant o X_SAS001 Cohort Selection; Participant belongs to either Cohort 1 or 2 o DS001_3 Randomization; Randomization Date and Number not missing Note- Per Study Team’s request the presence of Sample ID (BEREFID_001) will not be used in determining if a sample is collected,active,,,TRUE
C3671059,Delivery Blood Draw,"Percentage of vaccinated pregnant participants in
from Mother Cohorts 1 and 2 who had their blood drawn within 48
hours of Delivery
Dataset and BEETRK001",95,93%,90%,Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Pregnant Participant o EC001_2 Vaccination; Actual Dose and Dose Date are not missing o RPPRG002 Pregnancy Outcome; Date Time of Delivery not missing o BEETRK001 Electronic Sample Tracking; Sample Collected is Yes and Sample Collection Date not missing for V203_DELIVERY Visit when BEDTC_001 - RPORRES_DELIVD_PRGDLDT_002 <= 2 Days •,"Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Pregnant Participant o EC001_2 Vaccination; Actual Dose and Dose Date are not missing o RPPRG002 Pregnancy Outcome; Date Time of Delivery not missing Note- Per Study Team’s request the presence of Sample ID (BEREFID_001) will not be used in determining if a sample is collected Comment, if applicable",active,,,FALSE
C3671059,Cord Blood Draw from,"Percentage of infant participants who had their cord
Infants blood drawn at birth or blood sample collected within
first 24 hours but up to 7 days after birth


CDS01-RF02 C3671059
Dataset and BEETRK001_2",95,93%,90%,Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Infant o DS001_2 Enrollment; Enrollment Date and Number are not missing o BEETRK001_2 Electronic Sample Tracking- Infant Serology; Sample Collected is Yes and Sample Collection Date not missing for V101_DAY1 Visit when BEDTC_001 - DSSTDTC_001_2 <= 7 Days •,"Include subjects from Cohort 1 and 2 where o R_TRIG001_1 Trigger Form; Study Population is Infant o DS001_2 Enrollment; Enrollment Date and Number are not missing Note- Per Study Team’s request the presence of Sample ID (BEREFID_001) will not be used in determining if a sample is collected Comment, if applicable",active,,,FALSE
C4221015,Percentage of,"The percentage of participants who:
participants 1. take subsequent anticancer therapy or undergo
permanently censored metastasectomy procedures
for PFS by BICR 2. Missed > 2 tumor assessments
assessment at the 3. Withdraw consent from study
primary analysis (in 4. Lost to follow-up
Phase 3)


CDS01-RF02
Dataset and [PFS_QTL]",10,15%,20%,o Include ALL subjects in [PSF_QTL] where [EVNTDESC] is equal to START OF NEW ANTI-CANCER THERAPY or WITHDRAWAL OF CONSENT or LOST TO FOLLOW-UP or EVENT AFTER >= 2 MISSING OR INADEQUATE POST-BASELINE ASSESSMENTS •,"Total Number of Randomized Subjects o [DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing Comment, if Progression Free Survival [PFS_QTL] file provided for the calculation monthly after 3rd Monday of each applicable month. Retired as of 06MAY25.",active,,,FALSE
C4221015,Percentage of,"The number of participants who are local positive, central
participants with negative.
discordant local
positive and central
negative BRAF results
(in Phase 3)


CDS01-RF02
Dataset and BRAF CENTRAL",2.5,N/A,3%,Include randomized subjects who have BRAF Local Reading as Positive and BRAF Central Reading as NOT DETECTED o Subjects who are randomized and have Local Reading: [Z_MBIO001_4] where [Z_MBIOANL_001] is equal to BRAF and [Z_MBIOQLR_001] = Positive AND who have Central Reading: [Z_MBIO014] where [MBIOANL] is equal to BRAF and [MBIOQLR] is NOT DETECTED •,"Total Number of Randomized Subjects o [DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing Comment, if Retired. applicable",active,,,FALSE
C4221015,Percentage of,"The number of participants who are either
participants with 1. local positive, central negative
discordant or 2.local positive, central indeterminate
unconfirmed local and 3. local positive, central test not done
central BRAF results 4. missing Central BRAF reading samples after 30 days
(in Phase 3) post-randomization date


CDS01-RF02
Dataset and BRAF LOCAL",5,N/A,6%,Include randomized subjects who have BRAF Local Reading as Positive and BRAF Central Reading as NOT DETECTED or INDETERMINATE or TEST NOT DONE AND randomized subjects for whom BRAF Central Reading is MISSING 30 days post-randomization. Subjects who are randomized and either: o have Local Reading: [Z_MBIO001_4] where [Z_MBIOANL_001] is equal to BRAF and [Z_MBIOQLR_001] = Positive AND who have Central Reading: [Z_MBIO014] where [MBIOANL] is equal to BRAF and [MBIOQLR] is NOT DETECTED or INDETERMINATE or NOT DONE OR o Central BRAF record is missing after 30 days post-randomization date (i.e. > 30 days between the date of transfer of the Central BRAF readings (which occurs on 3rd Thursday of each month) and the randomization date [DSSTDTC_001] from Randomization form [DS001_3]),"Total Number of Randomized Subjects [DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing Comment, if QTL3 logic updated at the time of KRI F/U5 QTL analysis based on QTL Plan Ver 6.0 dated: 02-May-2023 applicable by adding condition 4.0 from QTL Definition section. Retired.",active,,,FALSE
C4221015,Percentage of,"The percentage of participants who are local positive,
participants with central negative.
discordant local
positive and central
negative BRAF results
(in Cohort 3)
Dataset and BRAF CENTRAL",2.5,N/A,3%,Include randomized subjects who have BRAF Local Reading as Positive and BRAF Central Reading as NOT DETECTED Subjects who are randomized and have Local Reading: [Z_MBIO001_4] where [Z_MBIOANL_001] is equal to BRAF and [Z_MBIOQLR_001] = Positive AND who have Central Reading: [Z_MBIO014] where [MBIOANL] is equal to BRAF and [MBIOQLR] is NOT DETECTED,"Total Number of Randomized Subjects o [DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing Comment, if Retired as of 06MAY25 applicable",active,,,FALSE
C4221015,Percentage of,"The percentage of participants who are either:
participants with
discordant or 1. Local positive, central negative
unconfirmed local or 2. Local positive, central indeterminate
central BRAF results 3. Local positive, central test not done
(in Cohort 3) 4. missing Central BRAF reading samples after 30 days
post-randomization date
Dataset and BRAF LOCAL",5,N/A,6%,include randomized subjects who have BRAF Local Reading as Positive and BRAF Central Reading as NOT DETECTED or INDETERMINATE or TEST NOT DONE AND randomized subjects for whom BRAF Central Reading is MISSING 30 days post-randomization. Subjects who are randomized and either: o Have Local Reading [Z_MBIO001_4] where [Z_MBIOANL_001] is equal to BRAF and [Z_MBIOQLR_001]= Positive AND who have Central Reading: [Z_MBIO014] where [MBIOANL] is equal to BRAF and [MBIOQLR] is NOT DETECTED or INDETERMINATE or NOT DONE OR o Central BRAF record is missing after 30 days post-randomization date (i.e. > 30 days between the date of transfer of the Central BRAF readings (which occurs on 3rd Thursday of each month) and the randomization date [DSSTDTC_001] from the Randomization form [DS001_3]) •,"Randomized subjects ([DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing) Comment, if QTL5 logic updated at the time of KRI F/U5 QTL analysis based on QTL Plan Ver 6.0 dated: 02-May-2023 applicable by adding condition 4.0 from QTL Definition section. Retired as of 06MAY25.",active,,,FALSE
C4221015,% of patients that do,"In cohort 3: Patients without adequate baseline tumor
not have an adequate assessment by BICR prior to randomization or up to the
tumor assessment by date of first dose. Or patients without adequate post
BICR in cohort 3 baseline tumor assessment by BICR that is defined as an
assessment where a response of CR, PR, SD or PD can be
determined.
Dataset and [ADRSB with variable",,N/A,20% patients of,o Include ALL subjects in COHORT 3 from dataset ADRSB with variable PARAMCD=” BOR_C” and variable AVAL >6 < 6.7 •,"Total Number of Randomized Subjects o [DS001_3] Randomization; [DSSTDTC_001_3] Randomization Date not missing. Comment, if QTL should be based on best response = NE [Best Confirmed Response] file provided for the calculation applicable monthly after 3rd Monday of each month. Retired as of 06MAY25",active,,,FALSE
C4221022,% of participants with two,"% of participants with two consecutive non-
consecutive non evaluable/missing disease assessments
evaluable/missing disease
assessments


WI-CDS01-RF02
Dataset and RECIST (RSIOTA001)",5,NA,10%,,,active,,,TRUE
C4591048,to Key blood,,,,,,,active,,"in Study Risk Threshold Threshold
(Absolute Value)
Early Termination Rate Yes n/a – only relative Above 1.3, 3 2 (High) Retired from Standard KRIs, we moved it
No score is available Below -1.3, -3 1 (Moderate) to SSKRIs
Both 0.5 (Low)
Protocol Deviation Rate Yes n/a – only relative Above 1.3, 3 2 (High) For creating an action, please use
No score is available Below -1.3, -3 1 (Moderate) Suggested Actions library for Standard
KRI
Both 0.5 (Low)
Study Management will be assigned to
review this signal in Cluepoints
AE Rate Yes n/a – only relative Above 1.3, 3 2 (High) For creating an action, plea",FALSE
C4591048,Key blood sample collection -,"Percentage of subjects who provide an immunogenicity blood
Post Dose 1 (Sub-study A- sample at baseline and the 1month post Dose 1 (A301 and
Phase 2,3 _ Group 2_greater A302)
than or equal to 6 mo to less
than 2 years) Calculated as the cumulative number of subjects with a
collected sample divided by the cumulative number of
subjects vaccinated.",90,85%,80%,Include subjects where o DS001_3 Randomization; Randomization Date not missing o Collected Immunogenicity Blood Samples at Baseline and 1 Month Post Vaccination o •,"Include subjects where o DS001_3 Randomization; Randomization Date not missing o Subjects Completed Vaccination o Comment, if This QTL is going to be retired (March 2025) because the baseline samples are completed, and we don’t expect more applicable blood samples. 8.0.2. Key blood sample collection - Post Dose 3 (Sub-study A-Phase 2,3 _ Group 3_greater than or equal to 6 mo to less than 2 years) [RETIRED]",active,,,TRUE
C4591048,Key blood sample collection -,"Percentage of subjects who provide an immunogenicity blood
Post Dose 3 (Sub-study A- sample at baseline and the 1 month post Dose 3 (A401 and
Phase 2,3 _ Group 3_greater A405)
than or equal to 6 mo to less
than 2 years) Calculated as the cumulative number of subjects with a
collected sample divided by the cumulative number of
subjects vaccinated.

RBM SOLUTION SETUP FORM
DMB07-DMB08-WI-
15-Apr-2022
DMM01-RF02 6.0 C4591048",90,85%,80%,Include subjects where o DS001_3 Randomization; Randomization Date not missing o Collected Immunogenicity Blood Samples at Baseline and 1 Month Post Vaccination o •,"Include subjects where o DS001_3 Randomization; Randomization Date not missing o Subjects Completed Vaccination o Comment, if This QTL is going to be retired (March 2025) because the baseline samples are completed, and we don’t expect more applicable blood samples. 8.0.3. Key blood sample collection - Post Dose 1 (Sub-study A-Phase 2,3 _ Group 4_greater than or equal to 2 years to less than 5 years) [RETIRED]",active,,,TRUE
C4591048,Key blood sample collection -,"Percentage of subjects who provide an immunogenicity blood
Post Dose 1 (Sub-study A- sample at baseline and the 1 month post Dose 1 (A501 and
Phase 2,3 _ Group 4_greater A502)
than or equal to 2 years to less
than 5 years) Calculated as the cumulative number of subjects with a
collected sample divided by the cumulative number of
subjects vaccinated.",90,85%,80%,Include subjects where o DS001_3 Randomization; Randomization Date not missing o Collected Immunogenicity Blood Samples at Baseline and 1 Month Post Vaccination o •,"Include subjects where o DS001_3 Randomization; Randomization Date not missing o Subjects Completed Vaccination o Comment, if This QTL is going to be retired (March 2025) because the baseline samples are completed, and we don’t expect more applicable blood samples. 8.0.4. Nasal swab obtained at the time of a potential COVID-19 illness (Sub-study A Phase 2,3)",active,,,TRUE
C4591048,Nasal swab obtained at,"Cumulative percentage calculated as the cumulative number of
the time of a potential nasal swabs obtained from confirmed symptoms triggering
COVID-19 illness (Sub- illness/telehealth illness consultations divided by the cumulative
study A Phase 2,3) number of all illness visits with symptoms (which should therefore
have a corresponding swab)",90,85%,80%,Nasal Swab Collected (Self/Site) at COVID Visit or Microbiology Specimen COVID Test date not null o •,Counts of SOD form has date entered o,active,,"8.0.5. Key blood sample collection -Post Vaccination (Sub-study E_Group 2_greater than or equal to 5 years to less than 12
years) [RETIRED]",TRUE
C4591048,Key blood sample,"Percentage of subjects who provide an immunogenicity blood
collection -Post sample at baseline and the 1 month post vaccination visit
Vaccination (Sub-study (E201 and E202)
E_Group 2_greater Calculated as the cumulative number of subjects with a
than or equal to 5 years collected sample divided by the cumulative number of
to less than 12 years) subjects vaccinated.",90,85%,80%,o Include subjects where o DS001_3 Randomization; Randomization Date not missing o Collected Immunogenicity Blood Samples at Baseline and 1 Month Post Vaccination •,o Include subjects where o DS001_3 Randomization; Randomization Date not missing o Subjects Completed Vaccination o,active,,"This QTL will not be run from now (Jan-2025) because we have removed Sub Study E (that substudy is now
completed)
8.0.6. Nasal swab obtained at the time of a potential COVID-19 illness (Substudy E) [RETIRED]",TRUE
C4591048,Nasal swab obtained at,"Cumulative percentage calculated as the cumulative number of
the time of a potential nasal swabs obtained from confirmed symptoms triggering
COVID-19 illness illness/telehealth illness consultations divided by the cumulative
(Substudy number of all illness visits with symptoms (which should therefore
E) have a corresponding swab)

RBM SOLUTION SETUP FORM
DMB07-DMB08-WI-
15-Apr-2022
DMM01-RF02 6.0 C4591048",90,85%,80%,• Nasal Swab Collected (Self/Site) at COVID Visit or Microbiology Specimen COVID Test date not null •,• Counts of SOD form has date entered,active,,"This QTL will not be run from now (Jan-2025) because we have removed Sub Study E (that substudy is now
completed)

RBM SOLUTION SETUP FORM
DMB07-DMB08-WI-
15-Apr-2022
DMM01-RF02 6.0 C4591048",TRUE
C4591076,Key blood sample,"Percentage of subjects who provide a blood sample at the 1-
collection - Post Dose 1 month post vaccination visit calculated as the cumulative number
(Cohort 2) of subjects with a collected sample divided by the cumulative
number of subjects vaccinated.",90,85%,80%,Include subjects that have: o vaccinated subjects (EC001_2 where ECSTDTC_001 is not missing) and o have Immunogenicity Blood Samples (BEETRK012 where CPEVENT is V202_MONTH1) collected. o,Include vaccinated subjects (EC001_2 where ECSTDTC_001 is not missing). o,active,,Clinical will mitigate or comment in QTL’s dashboard based on the latest process.,TRUE
